time,t2m,latitude,longitude,number,step,surface
1980-12-31 19:00:00,302.81696,4,-73,0,0 days,0
1980-12-31 20:00:00,302.9193,4,-73,0,0 days,0
1980-12-31 21:00:00,302.6247,4,-73,0,0 days,0
1980-12-31 22:00:00,302.4533,4,-73,0,0 days,0
1980-12-31 23:00:00,300.52625,4,-73,0,0 days,0
1981-01-01 00:00:00,300.03406,4,-73,0,0 days,0
1981-01-01 01:00:00,299.08032,4,-73,0,0 days,0
1981-01-01 02:00:00,298.68976,4,-73,0,0 days,0
1981-01-01 03:00:00,298.36597,4,-73,0,0 days,0
1981-01-01 04:00:00,297.98547,4,-73,0,0 days,0
1981-01-01 05:00:00,297.48526,4,-73,0,0 days,0
1981-01-01 06:00:00,297.11746,4,-73,0,0 days,0
1981-01-01 07:00:00,298.24445,4,-73,0,0 days,0
1981-01-01 08:00:00,299.66516,4,-73,0,0 days,0
1981-01-01 09:00:00,300.7395,4,-73,0,0 days,0
1981-01-01 10:00:00,306.2591,4,-73,0,0 days,0
1981-01-01 11:00:00,306.3424,4,-73,0,0 days,0
1981-01-01 12:00:00,306.9248,4,-73,0,0 days,0
1981-01-01 13:00:00,307.39352,4,-73,0,0 days,0
1981-01-01 14:00:00,307.55457,4,-73,0,0 days,0
1981-01-01 15:00:00,306.1953,4,-73,0,0 days,0
1981-01-01 16:00:00,306.2466,4,-73,0,0 days,0
1981-01-01 17:00:00,303.69995,4,-73,0,0 days,0
1981-01-01 18:00:00,303.16968,4,-73,0,0 days,0
1981-01-01 19:00:00,302.58075,4,-73,0,0 days,0
1981-01-01 20:00:00,301.51056,4,-73,0,0 days,0
1981-01-01 21:00:00,300.25854,4,-73,0,0 days,0
1981-01-01 22:00:00,298.85986,4,-73,0,0 days,0
1981-01-01 23:00:00,298.89337,4,-73,0,0 days,0
1981-01-02 00:00:00,297.16113,4,-73,0,0 days,0
1981-01-02 01:00:00,297.01202,4,-73,0,0 days,0
1981-01-02 02:00:00,296.76837,4,-73,0,0 days,0
1981-01-02 03:00:00,297.08362,4,-73,0,0 days,0
1981-01-02 04:00:00,296.80328,4,-73,0,0 days,0
1981-01-02 05:00:00,297.39758,4,-73,0,0 days,0
1981-01-02 06:00:00,297.16284,4,-73,0,0 days,0
1981-01-02 07:00:00,298.07272,4,-73,0,0 days,0
1981-01-02 08:00:00,298.97037,4,-73,0,0 days,0
1981-01-02 09:00:00,301.5311,4,-73,0,0 days,0
1981-01-02 10:00:00,304.458,4,-73,0,0 days,0
1981-01-02 11:00:00,304.91656,4,-73,0,0 days,0
1981-01-02 12:00:00,306.3641,4,-73,0,0 days,0
1981-01-02 13:00:00,306.70276,4,-73,0,0 days,0
1981-01-02 14:00:00,306.61093,4,-73,0,0 days,0
1981-01-02 15:00:00,305.8541,4,-73,0,0 days,0
1981-01-02 16:00:00,306.1254,4,-73,0,0 days,0
1981-01-02 17:00:00,303.7233,4,-73,0,0 days,0
1981-01-02 18:00:00,303.15125,4,-73,0,0 days,0
1981-01-02 19:00:00,302.58026,4,-73,0,0 days,0
1981-01-02 20:00:00,301.55847,4,-73,0,0 days,0
1981-01-02 21:00:00,300.75494,4,-73,0,0 days,0
1981-01-02 22:00:00,299.81146,4,-73,0,0 days,0
1981-01-02 23:00:00,299.82843,4,-73,0,0 days,0
1981-01-03 00:00:00,299.0166,4,-73,0,0 days,0
1981-01-03 01:00:00,297.72488,4,-73,0,0 days,0
1981-01-03 02:00:00,296.766,4,-73,0,0 days,0
1981-01-03 03:00:00,295.45273,4,-73,0,0 days,0
1981-01-03 04:00:00,294.8574,4,-73,0,0 days,0
1981-01-03 05:00:00,296.08154,4,-73,0,0 days,0
1981-01-03 06:00:00,294.83017,4,-73,0,0 days,0
1981-01-03 07:00:00,295.90424,4,-73,0,0 days,0
1981-01-03 08:00:00,299.2195,4,-73,0,0 days,0
1981-01-03 09:00:00,303.4531,4,-73,0,0 days,0
1981-01-03 10:00:00,305.13535,4,-73,0,0 days,0
1981-01-03 11:00:00,305.25653,4,-73,0,0 days,0
1981-01-03 12:00:00,306.38412,4,-73,0,0 days,0
1981-01-03 13:00:00,307.35397,4,-73,0,0 days,0
1981-01-03 14:00:00,307.49405,4,-73,0,0 days,0
1981-01-03 15:00:00,306.91364,4,-73,0,0 days,0
1981-01-03 16:00:00,307.016,4,-73,0,0 days,0
1981-01-03 17:00:00,303.5631,4,-73,0,0 days,0
1981-01-03 18:00:00,302.98004,4,-73,0,0 days,0
1981-01-03 19:00:00,302.37683,4,-73,0,0 days,0
1981-01-03 20:00:00,302.02972,4,-73,0,0 days,0
1981-01-03 21:00:00,300.82526,4,-73,0,0 days,0
1981-01-03 22:00:00,300.05835,4,-73,0,0 days,0
1981-01-03 23:00:00,299.5338,4,-73,0,0 days,0
1981-01-04 00:00:00,298.76218,4,-73,0,0 days,0
1981-01-04 01:00:00,296.79514,4,-73,0,0 days,0
1981-01-04 02:00:00,296.70813,4,-73,0,0 days,0
1981-01-04 03:00:00,296.55304,4,-73,0,0 days,0
1981-01-04 04:00:00,295.644,4,-73,0,0 days,0
1981-01-04 05:00:00,297.01254,4,-73,0,0 days,0
1981-01-04 06:00:00,295.01068,4,-73,0,0 days,0
1981-01-04 07:00:00,298.55032,4,-73,0,0 days,0
1981-01-04 08:00:00,300.02863,4,-73,0,0 days,0
1981-01-04 09:00:00,301.83966,4,-73,0,0 days,0
1981-01-04 10:00:00,303.62238,4,-73,0,0 days,0
1981-01-04 11:00:00,303.88666,4,-73,0,0 days,0
1981-01-04 12:00:00,304.96997,4,-73,0,0 days,0
1981-01-04 13:00:00,305.5868,4,-73,0,0 days,0
1981-01-04 14:00:00,305.7077,4,-73,0,0 days,0
1981-01-04 15:00:00,306.04248,4,-73,0,0 days,0
1981-01-04 16:00:00,306.0205,4,-73,0,0 days,0
1981-01-04 17:00:00,303.15247,4,-73,0,0 days,0
1981-01-04 18:00:00,302.5667,4,-73,0,0 days,0
1981-01-04 19:00:00,301.66638,4,-73,0,0 days,0
1981-01-04 20:00:00,301.3075,4,-73,0,0 days,0
1981-01-04 21:00:00,300.6007,4,-73,0,0 days,0
1981-01-04 22:00:00,299.03418,4,-73,0,0 days,0
1981-01-04 23:00:00,299.05096,4,-73,0,0 days,0
1981-01-05 00:00:00,297.73993,4,-73,0,0 days,0
1981-01-05 01:00:00,296.55698,4,-73,0,0 days,0
1981-01-05 02:00:00,295.38367,4,-73,0,0 days,0
1981-01-05 03:00:00,295.3804,4,-73,0,0 days,0
1981-01-05 04:00:00,296.80402,4,-73,0,0 days,0
1981-01-05 05:00:00,296.59607,4,-73,0,0 days,0
1981-01-05 06:00:00,296.5857,4,-73,0,0 days,0
1981-01-05 07:00:00,298.06464,4,-73,0,0 days,0
1981-01-05 08:00:00,298.7849,4,-73,0,0 days,0
1981-01-05 09:00:00,302.71555,4,-73,0,0 days,0
1981-01-05 10:00:00,303.39307,4,-73,0,0 days,0
1981-01-05 11:00:00,303.38916,4,-73,0,0 days,0
1981-01-05 12:00:00,305.478,4,-73,0,0 days,0
1981-01-05 13:00:00,307.0854,4,-73,0,0 days,0
1981-01-05 14:00:00,307.22217,4,-73,0,0 days,0
1981-01-05 15:00:00,307.59637,4,-73,0,0 days,0
1981-01-05 16:00:00,307.40955,4,-73,0,0 days,0
1981-01-05 17:00:00,303.8664,4,-73,0,0 days,0
1981-01-05 18:00:00,303.4779,4,-73,0,0 days,0
1981-01-05 19:00:00,302.65814,4,-73,0,0 days,0
1981-01-05 20:00:00,301.98187,4,-73,0,0 days,0
1981-01-05 21:00:00,301.64386,4,-73,0,0 days,0
1981-01-05 22:00:00,301.10645,4,-73,0,0 days,0
