time,daily_max,daily_min,latitude,longitude,number,step,surface
1980-12-31,29.769318,27.376251,4.0,-73.0,0,0 days,0.0
1981-01-01,34.40457,23.967468,4.0,-73.0,0,0 days,0.0
1981-01-02,33.552765,23.618378,4.0,-73.0,0,0 days,0.0
1981-01-03,34.344055,21.680176,4.0,-73.0,0,0 days,0.0
1981-01-04,32.892487,21.860687,4.0,-73.0,0,0 days,0.0
1981-01-05,34.44638,22.230408,4.0,-73.0,0,0 days,0.0
1981-01-06,34.106903,21.620605,4.0,-73.0,0,0 days,0.0
1981-01-07,31.372467,22.891449,4.0,-73.0,0,0 days,0.0
1981-01-08,28.412811,21.288452,4.0,-73.0,0,0 days,0.0
1981-01-09,29.575592,22.27707,4.0,-73.0,0,0 days,0.0
1981-01-10,29.41153,21.249695,4.0,-73.0,0,0 days,0.0
1981-01-11,31.478302,21.2565,4.0,-73.0,0,0 days,0.0
1981-01-12,33.178986,22.44339,4.0,-73.0,0,0 days,0.0
1981-01-13,32.706696,21.951904,4.0,-73.0,0,0 days,0.0
1981-01-14,33.80655,22.392578,4.0,-73.0,0,0 days,0.0
1981-01-15,33.287994,21.056793,4.0,-73.0,0,0 days,0.0
1981-01-16,32.677216,20.765045,4.0,-73.0,0,0 days,0.0
1981-01-17,33.535248,22.07431,4.0,-73.0,0,0 days,0.0
1981-01-18,34.38376,22.176117,4.0,-73.0,0,0 days,0.0
1981-01-19,34.785187,21.973724,4.0,-73.0,0,0 days,0.0
1981-01-20,34.36728,20.81784,4.0,-73.0,0,0 days,0.0
1981-01-21,34.4263,22.49936,4.0,-73.0,0,0 days,0.0
1981-01-22,34.83618,22.838226,4.0,-73.0,0,0 days,0.0
1981-01-23,35.354095,22.406342,4.0,-73.0,0,0 days,0.0
1981-01-24,35.60498,23.157898,4.0,-73.0,0,0 days,0.0
1981-01-25,35.108063,23.28238,4.0,-73.0,0,0 days,0.0
1981-01-26,36.09662,21.818573,4.0,-73.0,0,0 days,0.0
1981-01-27,35.733307,21.750214,4.0,-73.0,0,0 days,0.0
1981-01-28,35.56595,23.204437,4.0,-73.0,0,0 days,0.0
1981-01-29,35.081696,23.759735,4.0,-73.0,0,0 days,0.0
1981-01-30,35.108,22.8461,4.0,-73.0,0,0 days,0.0
1981-01-31,34.39572,23.350922,4.0,-73.0,0,0 days,0.0
1981-02-01,33.704132,24.445435,4.0,-73.0,0,0 days,0.0
1981-02-02,34.72586,22.485931,4.0,-73.0,0,0 days,0.0
1981-02-03,34.378998,23.988037,4.0,-73.0,0,0 days,0.0
1981-02-04,34.968475,25.650604,4.0,-73.0,0,0 days,0.0
1981-02-05,35.573822,23.235504,4.0,-73.0,0,0 days,0.0
